condition,method,n,reference_value,relative_error,scan_type,speed_m_s,value
0,quad_angle,90,2.3857099329019603e-20,0.0008753596995799547,rhores,10000.0,2.3877982872321103e-20
0,quad_angle,180,2.3857099329019603e-20,0.00021939755584508158,rhores,10000.0,2.3862333518301943e-20
0,quad_angle,360,2.3857099329019603e-20,5.488431805157841e-05,rhores,10000.0,2.3858408709646965e-20
0,quad_angle,720,2.3857099329019603e-20,1.372326349945694e-05,rhores,10000.0,2.3857426726280028e-20
0,quad_angle,1440,2.3857099329019603e-20,3.4309521047393913e-06,rhores,10000.0,2.385718118158476e-20
0,quad_angle,2880,2.3857099329019603e-20,8.57746253887727e-07,rhores,10000.0,2.385711979235718e-20
0,vectorized,45,2.3857099329019603e-20,0.0037052104895777416,vectorized,10000.0,2.3945494903704384e-20
0,vectorized,90,2.3857099329019603e-20,0.0009351221987038771,vectorized,10000.0,2.3879408632198852e-20
0,vectorized,180,2.3857099329019603e-20,0.00023433881920271313,vectorized,10000.0,2.3862689973505967e-20
0,vectorized,360,2.3857099329019603e-20,5.861970972726509e-05,vectorized,10000.0,2.3858497825257205e-20
0,vectorized,720,2.3857099329019603e-20,1.4657117015649754e-05,vectorized,10000.0,2.3857449005316122e-20
0,vectorized,1440,2.3857099329019603e-20,3.6644160838218223e-06,vectorized,10000.0,2.3857186751358097e-20
0,vectorized,2880,2.3857099329019603e-20,9.161125396881794e-07,vectorized,10000.0,2.385712118480746e-20
0,quad_impact,45,4.1640954077857505e-25,0.05606018066292502,dphires,200000.0,4.397535348643876e-25
0,quad_impact,90,4.1640954077857505e-25,0.013601790769658315,dphires,200000.0,4.220734562267347e-25
0,quad_impact,180,4.1640954077857505e-25,0.0033746435103005194,dphires,200000.0,4.178147745329907e-25
0,quad_impact,360,4.1640954077857505e-25,0.0008420557187545419,dphires,200000.0,4.167601808137316e-25
0,quad_impact,720,4.1640954077857505e-25,0.00021041567853622136,dphires,200000.0,4.164971598746469e-25
0,quad_impact,1440,4.1640954077857505e-25,5.2598324526187465e-05,dphires,200000.0,4.164314432227367e-25
0,quad_impact,2880,4.1640954077857505e-25,1.31494367269563e-05,dphires,200000.0,4.16415016329484e-25
0,quad_angle,45,4.1640954077857505e-25,0.0012819946830400504,rhores,200000.0,4.169433755958203e-25
0,quad_angle,90,4.1640954077857505e-25,0.00032374322661975994,rhores,200000.0,4.16544350546902e-25
0,quad_angle,180,4.1640954077857505e-25,8.11521460564606e-05,rhores,200000.0,4.164433333064476e-25
0,quad_angle,360,4.1640954077857505e-25,2.031394561550098e-05,rhores,200000.0,4.164179996993402e-25
0,quad_angle,720,4.1640954077857505e-25,5.0920849932120725e-06,rhores,200000.0,4.164116611713487e-25
0,quad_angle,1440,4.1640954077857505e-25,1.2860248950978448e-06,rhores,200000.0,4.1641007629161105e-25
0,quad_angle,2880,4.1640954077857505e-25,3.3448605812001215e-07,rhores,200000.0,4.164096800617609e-25
0,vectorized,45,4.1640954077857505e-25,0.05736692875246619,vectorized,200000.0,4.402976772362667e-25
0,vectorized,90,4.1640954077857505e-25,0.013925933887147397,vectorized,200000.0,4.222084325134349e-25
0,vectorized,180,4.1640954077857505e-25,0.003455785468330255,vectorized,200000.0,4.178485628184717e-25
0,vectorized,360,4.1640954077857505e-25,0.000862352485985517,vectorized,200000.0,4.167686325812535e-25
0,vectorized,720,4.1640954077857505e-25,0.00021549043063831308,vectorized,200000.0,4.164992730498393e-25
0,vectorized,1440,4.1640954077857505e-25,5.386699958024377e-05,vectorized,200000.0,4.164319715111334e-25
0,vectorized,2880,4.1640954077857505e-25,1.3466477289323864e-05,vectorized,200000.0,4.16415148348199e-25
1,quad_impact,45,2.7126200325212252e-21,1.309041919764773e-13,dphires,100.0,2.71262003252087e-21
1,quad_impact,90,2.7126200325212252e-21,1.0788502262468152e-13,dphires,100.0,2.7126200325209326e-21
1,quad_impact,180,2.7126200325212252e-21,1.3173621014581933e-13,dphires,100.0,2.712620032520868e-21
1,quad_impact,360,2.7126200325212252e-21,1.580834521749832e-14,dphires,100.0,2.7126200325211823e-21
1,quad_impact,720,2.7126200325212252e-21,2.347677934493391e-13,dphires,100.0,2.7126200325205884e-21
1,quad_impact,1440,2.7126200325212252e-21,9.318603496630589e-14,dphires,100.0,2.7126200325209724e-21
1,quad_impact,2880,2.7126200325212252e-21,1.3173621014581933e-13,dphires,100.0,2.712620032520868e-21
1,quad_angle,45,2.7126200325212252e-21,0.0487702654190734,rhores,100.0,2.844915231488381e-21
1,quad_angle,90,2.7126200325212252e-21,0.013495203802233792,rhores,100.0,2.7492273926981212e-21
