base_dphires,base_rhores,base_vres,bmax_over_aH,condition,density_g_cc,dphires,force_n,relative_error_vs_largest_bmax,resolution_scale_factor,resolution_scale_per_decade,resolution_scale_reference_bmax_over_aH,rhores,temperature_K,velocity_cm_s,velocity_index,velocity_m_s,vres
360,360,101,1000.0,0,1e-05,1823,1.9536866127588647e-14,8.134255201445212e-06,5.0625,1.5,0.1,1823,5000.0,3981071.705534969,8,39810.71705534969,512
360,360,101,1000.0,0,1e-05,1823,8.485459991336777e-15,1.0328328555623233e-06,5.0625,1.5,0.1,1823,5000.0,6309573.444801929,9,63095.73444801929,512
360,360,101,1000.0,0,1e-05,1823,3.723274257256878e-15,0.0016222736974905259,5.0625,1.5,0.1,1823,5000.0,10000000.0,10,100000.0,512
360,360,101,1000.0,0,1e-05,1823,1.6304986595184618e-15,0.02042073086843362,5.0625,1.5,0.1,1823,5000.0,15848931.924611142,11,158489.3192461114,512
360,360,101,1000.0,0,1e-05,1823,7.10687971659968e-16,0.06497199688207181,5.0625,1.5,0.1,1823,5000.0,25118864.315095823,12,251188.64315095823,512
360,360,101,1000.0,0,1e-05,1823,3.0817473247794677e-16,0.024553256013545858,5.0625,1.5,0.1,1823,5000.0,39810717.05534969,13,398107.1705534969,512
360,360,101,1000.0,0,1e-05,1823,1.3455802385729817e-16,0.34236938945881246,5.0625,1.5,0.1,1823,5000.0,63095734.44801943,14,630957.3444801943,512
360,360,101,1000.0,0,1e-05,1823,7.041880644070156e-17,0.7607695553639994,5.0625,1.5,0.1,1823,5000.0,100000000.0,15,1000000.0,512
360,360,101,10000.0,0,1e-05,2734,3.9762222217838824e-14,0.0,7.59375,1.5,0.1,2734,5000.0,100000.0,0,1000.0,767
360,360,101,10000.0,0,1e-05,2734,6.227739805771435e-14,0.0,7.59375,1.5,0.1,2734,5000.0,158489.3192461114,1,1584.893192461114,767
360,360,101,10000.0,0,1e-05,2734,9.582023811720036e-14,0.0,7.59375,1.5,0.1,2734,5000.0,251188.6431509582,2,2511.886431509582,767
360,360,101,10000.0,0,1e-05,2734,1.4104761041799773e-13,0.0,7.59375,1.5,0.1,2734,5000.0,398107.1705534969,3,3981.071705534969,767
