dphires,force_n,relative_error,resolution,rhores,scan_type,velocity_cm_s,velocity_index,velocity_m_s,vres
1000,5.386774034196273e-17,1.6320131896840007e-05,300,300,rhores,100000000.0,15,1000000.0,1000
1000,2.6596243682598362e-14,0.0,1000,1000,rhores,100000.0,0,1000.0,1000
1000,4.170482300654926e-14,0.0,1000,1000,rhores,158489.3192461114,1,1584.893192461114,1000
1000,6.435513781341454e-14,0.0,1000,1000,rhores,251188.6431509582,2,2511.886431509582,1000
1000,9.542682985300194e-14,0.0,1000,1000,rhores,398107.1705534969,3,3981.071705534969,1000
1000,1.283928496918832e-13,0.0,1000,1000,rhores,630957.344480193,4,6309.57344480193,1000
1000,1.379339191370966e-13,0.0,1000,1000,rhores,1000000.0,5,10000.0,1000
1000,9.553108382692627e-14,0.0,1000,1000,rhores,1584893.1924611141,6,15848.93192461114,1000
1000,4.1843760137130783e-14,0.0,1000,1000,rhores,2511886.4315095823,7,25118.864315095823,1000
1000,1.7655419979818374e-14,0.0,1000,1000,rhores,3981071.705534969,8,39810.71705534969,1000
1000,7.78169176992814e-15,0.0,1000,1000,rhores,6309573.444801929,9,63095.73444801929,1000
1000,3.4491764774697602e-15,0.0,1000,1000,rhores,10000000.0,10,100000.0,1000
1000,1.5218589263825235e-15,0.0,1000,1000,rhores,15848931.924611142,11,158489.3192461114,1000
1000,6.667158984814594e-16,0.0,1000,1000,rhores,25118864.315095823,12,251188.64315095823,1000
1000,2.899834929693934e-16,0.0,1000,1000,rhores,39810717.05534969,13,398107.1705534969,1000
1000,1.2531430844856961e-16,0.0,1000,1000,rhores,63095734.44801943,14,630957.3444801943,1000
1000,5.3866861227682625e-17,0.0,1000,1000,rhores,100000000.0,15,1000000.0,1000
1000,2.658963497180074e-14,0.0002484828638393686,30,1000,vres,100000.0,0,1000.0,30
1000,4.1693442279871557e-14,0.0002728875429087921,30,1000,vres,158489.3192461114,1,1584.893192461114,30
1000,6.433530845911699e-14,0.00030812387279844993,30,1000,vres,251188.6431509582,2,2511.886431509582,30
1000,9.539176192117397e-14,0.00036748503415635463,30,1000,vres,398107.1705534969,3,3981.071705534969,30
1000,1.2833402515867496e-13,0.00045816050776507184,30,1000,vres,630957.344480193,4,6309.57344480193,30
1000,1.378597946385177e-13,0.0005373913758314404,30,1000,vres,1000000.0,5,10000.0,30
1000,9.54953266296779e-14,0.0003742990848208682,30,1000,vres,1584893.1924611141,6,15848.93192461114,30
1000,4.183844169733641e-14,0.00012710233920050287,30,1000,vres,2511886.4315095823,7,25118.864315095823,30
1000,1.7655547275944874e-14,7.210031063840583e-06,30,1000,vres,3981071.705534969,8,39810.71705534969,30
1000,7.781725302730099e-15,4.309191747746192e-06,30,1000,vres,6309573.444801929,9,63095.73444801929,30
1000,3.4491886556333667e-15,3.530745291254947e-06,30,1000,vres,10000000.0,10,100000.0,30
1000,1.5218638859855278e-15,3.258911137088003e-06,30,1000,vres,15848931.924611142,11,158489.3192461114,30
1000,6.667180017034826e-16,3.1546000747727692e-06,30,1000,vres,25118864.315095823,12,251188.64315095823,30
1000,2.8998439584555913e-16,3.113543314134698e-06,30,1000,vres,39810717.05534969,13,398107.1705534969,30
1000,1.2531469646578026e-16,3.0963520083652703e-06,30,1000,vres,63095734.44801943,14,630957.3444801943,30
1000,5.386702764464689e-17,3.0894126829317787e-06,30,1000,vres,100000000.0,15,1000000.0,30
1000,2.659612726765356e-14,4.377119798941977e-06,100,1000,vres,100000.0,0,1000.0,100
1000,4.170467475770101e-14,3.554717118069307e-06,100,1000,vres,158489.3192461114,1,1584.893192461114,100
1000,6.435513768261692e-14,2.0324347559445554e-09,100,1000,vres,251188.6431509582,2,2511.886431509582,100
1000,9.542652196533903e-14,3.2264266075078282e-06,100,1000,vres,398107.1705534969,3,3981.071705534969,100
1000,1.2839254941038358e-13,2.3387712037050336e-06,100,1000,vres,630957.344480193,4,6309.57344480193,100
1000,1.3793336245580768e-13,4.035854939906015e-06,100,1000,vres,1000000.0,5,10000.0,100
1000,9.553033118517135e-14,7.878501161839609e-06,100,1000,vres,1584893.1924611141,6,15848.93192461114,100
1000,4.184378738192654e-14,6.511077319277866e-07,100,1000,vres,2511886.4315095823,7,25118.864315095823,100
1000,1.765543152929228e-14,6.541602475731037e-07,100,1000,vres,3981071.705534969,8,39810.71705534969,100
1000,7.781694825919043e-15,3.927154907922548e-07,100,1000,vres,6309573.444801929,9,63095.73444801929,100
1000,3.449177589178522e-15,3.2231136009534376e-07,100,1000,vres,10000000.0,10,100000.0,100
1000,1.52185937942707e-15,2.9769155248625957e-07,100,1000,vres,15848931.924611142,11,158489.3192461114,100
1000,6.667160906699902e-16,2.88261508832213e-07,100,1000,vres,25118864.315095823,12,251188.64315095823,100
1000,2.899835754760763e-16,2.845219983870635e-07,100,1000,vres,39810717.05534969,13,398107.1705534969,100
1000,1.253143438755432e-16,2.827049363715932e-07,100,1000,vres,63095734.44801943,14,630957.3444801943,100
1000,5.3866876136590037e-17,2.7677327158672e-07,100,1000,vres,100000000.0,15,1000000.0,100
1000,2.6596230127011445e-14,5.096805052226999e-07,300,1000,vres,100000.0,0,1000.0,300
1000,4.170480847272561e-14,3.4849263468898374e-07,300,1000,vres,158489.3192461114,1,1584.893192461114,300
1000,6.435517476441002e-14,5.74173201022768e-07,300,1000,vres,251188.6431509582,2,2511.886431509582,300
1000,9.542680980989776e-14,2.1003636197022087e-07,300,1000,vres,398107.1705534969,3,3981.071705534969,300
1000,1.2839288011453037e-13,2.369496996270438e-07,300,1000,vres,630957.344480193,4,6309.57344480193,300
1000,1.379339312123471e-13,8.754373516490798e-08,300,1000,vres,1000000.0,5,10000.0,300
1000,9.553089050345025e-14,2.023670917112844e-06,300,1000,vres,1584893.1924611141,6,15848.93192461114,300
1000,4.184376370440171e-14,8.525215975621915e-08,300,1000,vres,2511886.4315095823,7,25118.864315095823,300
1000,1.765542116118302e-14,6.691229370144966e-08,300,1000,vres,3981071.705534969,8,39810.71705534969,300
1000,7.781692082640279e-15,4.018562385812727e-08,300,1000,vres,6309573.444801929,9,63095.73444801929,300
1000,3.4491765912451065e-15,3.29862351262129e-08,300,1000,vres,10000000.0,10,100000.0,300
1000,1.5218589727494302e-15,3.046728301173328e-08,300,1000,vres,15848931.924611142,11,158489.3192461114,300
1000,6.667159181619441e-16,2.9518547181122014e-08,300,1000,vres,25118864.315095823,12,251188.64315095823,300
1000,2.89983501413665e-16,2.911983555797221e-08,300,1000,vres,39810717.05534969,13,398107.1705534969,300
1000,1.253143120215499e-16,2.8512149346944128e-08,300,1000,vres,63095734.44801943,14,630957.3444801943,300
1000,5.3866862530092595e-17,2.4178315593932423e-08,300,1000,vres,100000000.0,15,1000000.0,300
1000,2.6596243682598362e-14,0.0,1000,1000,vres,100000.0,0,1000.0,1000
1000,4.170482300654926e-14,0.0,1000,1000,vres,158489.3192461114,1,1584.893192461114,1000
1000,6.435513781341454e-14,0.0,1000,1000,vres,251188.6431509582,2,2511.886431509582,1000
1000,9.542682985300194e-14,0.0,1000,1000,vres,398107.1705534969,3,3981.071705534969,1000
1000,1.283928496918832e-13,0.0,1000,1000,vres,630957.344480193,4,6309.57344480193,1000
1000,1.379339191370966e-13,0.0,1000,1000,vres,1000000.0,5,10000.0,1000
1000,9.553108382692627e-14,0.0,1000,1000,vres,1584893.1924611141,6,15848.93192461114,1000
1000,4.1843760137130783e-14,0.0,1000,1000,vres,2511886.4315095823,7,25118.864315095823,1000
1000,1.7655419979818374e-14,0.0,1000,1000,vres,3981071.705534969,8,39810.71705534969,1000
1000,7.78169176992814e-15,0.0,1000,1000,vres,6309573.444801929,9,63095.73444801929,1000
1000,3.4491764774697602e-15,0.0,1000,1000,vres,10000000.0,10,100000.0,1000
1000,1.5218589263825235e-15,0.0,1000,1000,vres,15848931.924611142,11,158489.3192461114,1000
1000,6.667158984814594e-16,0.0,1000,1000,vres,25118864.315095823,12,251188.64315095823,1000
1000,2.899834929693934e-16,0.0,1000,1000,vres,39810717.05534969,13,398107.1705534969,1000
1000,1.2531430844856961e-16,0.0,1000,1000,vres,63095734.44801943,14,630957.3444801943,1000
1000,5.3866861227682625e-17,0.0,1000,1000,vres,100000000.0,15,1000000.0,1000
