dphires,force_n,relative_error,rhomax_fraction,rhores,test_type,test_value,velocity_cm_s,velocity_index,vres
300,3.137342801846845e-14,0.21099590040302166,1.4634914460314024,300,bmax_over_screening_length,1.0,100000.0,0,100
300,4.917294697495641e-14,0.21044293283892357,1.4634914460314024,300,bmax_over_screening_length,1.0,158489.3192461114,1,100
300,7.579103361859436e-14,0.20905399608441522,1.4634914460314024,300,bmax_over_screening_length,1.0,251188.6431509582,2,100
300,1.12056280523595e-13,0.20556762957416025,1.4634914460314024,300,bmax_over_screening_length,1.0,398107.1705534969,3,100
300,1.4967872488901565e-13,0.1968291552323067,1.4634914460314024,300,bmax_over_screening_length,1.0,630957.344480193,4,100
300,1.5801572637908004e-13,0.17526566491963524,1.4634914460314024,300,bmax_over_screening_length,1.0,1000000.0,5,100
300,1.0549156437045767e-13,0.12785658500755007,1.4634914460314024,300,bmax_over_screening_length,1.0,1584893.1924611141,6,100
300,4.434547263586731e-14,0.074323087247132,1.4634914460314024,300,bmax_over_screening_length,1.0,2511886.4315095823,7,100
300,1.8443165309778246e-14,0.06122042319717206,1.4634914460314024,300,bmax_over_screening_length,1.0,3981071.705534969,8,100
300,8.077042431216705e-15,0.07586790254237465,1.4634914460314024,300,bmax_over_screening_length,1.0,6309573.444801929,9,100
300,3.565039743712314e-15,0.1792771490867557,1.4634914460314024,300,bmax_over_screening_length,1.0,10000000.0,10,100
300,1.5685471743596163e-15,0.5051679820887324,1.4634914460314024,300,bmax_over_screening_length,1.0,15848931.924611142,11,100
300,6.862154388465812e-16,0.8494343486508202,1.4634914460314024,300,bmax_over_screening_length,1.0,25118864.315095823,12,100
300,2.9871909555487566e-16,0.9699797530075103,1.4634914460314024,300,bmax_over_screening_length,1.0,39810717.05534969,13,100
300,1.2978581567921525e-16,0.9946679313987659,1.4634914460314024,300,bmax_over_screening_length,1.0,63095734.44801943,14,100
300,5.667292603642941e-17,0.9990688056144413,1.4634914460314024,300,bmax_over_screening_length,1.0,100000000.0,15,100
300,3.976229363283933e-14,2.5988004208834398e-05,14.634914460314024,300,bmax_over_screening_length,10.0,100000.0,0,100
300,6.227751555398306e-14,2.6324313567880934e-05,14.634914460314024,300,bmax_over_screening_length,10.0,158489.3192461114,1,100
300,9.582066607453349e-14,2.7189158322118294e-05,14.634914460314024,300,bmax_over_screening_length,10.0,251188.6431509582,2,100
300,1.4104784961238012e-13,2.947637159704738e-05,14.634914460314024,300,bmax_over_screening_length,10.0,398107.1705534969,3,100
300,1.863530383165699e-13,3.6061766786688946e-05,14.634914460314024,300,bmax_over_screening_length,10.0,630957.344480193,4,100
300,1.9158462715773783e-13,5.8894698248038404e-05,14.634914460314024,300,bmax_over_screening_length,10.0,1000000.0,5,100
300,1.2093585895932725e-13,0.00017206439901671925,14.634914460314024,300,bmax_over_screening_length,10.0,1584893.1924611141,6,100
300,4.78620940870199e-14,0.0009163763760308371,14.634914460314024,300,bmax_over_screening_length,10.0,2511886.4315095823,7,100
300,1.954401082632618e-14,0.005186045649070689,14.634914460314024,300,bmax_over_screening_length,10.0,3981071.705534969,8,100
300,8.49258821872914e-15,0.028323370806430898,14.634914460314024,300,bmax_over_screening_length,10.0,6309573.444801929,9,100
300,3.730333742787892e-15,0.14122411969222368,14.634914460314024,300,bmax_over_screening_length,10.0,10000000.0,10,100
300,1.637382605805121e-15,0.48345236141581366,14.634914460314024,300,bmax_over_screening_length,10.0,15848931.924611142,11,100
300,7.173123422502693e-16,0.8426112356008008,14.634914460314024,300,bmax_over_screening_length,10.0,25118864.315095823,12,100
300,3.15349097070535e-16,0.9683084947571522,14.634914460314024,300,bmax_over_screening_length,10.0,39810717.05534969,13,100
