condition,nominal_velocity_cm_s,source_file,source_sha256,status,quality_flags,n_times_total,n_atoms,n_fit_points,start_index,end_index_exclusive,amplitude,amplitude_sigma,tau,tau_sigma,start_time,end_time,reduced_chi2,r_squared,residual_lag1_correlation,initial_mean_velocity,observed_decay_fraction,start_mean_velocity,start_velocity_sem,end_mean_velocity,end_velocity_sem,peak_time,thermalization_end_time,target_fit_start_time,window_selection_score,candidate_window_count,message
2,100000.0,trajvel_v1.0e+05_c2.txt,f8c6f18511d3bc5cd8b3c39260b12ceec6706973116d5ae4b31ff8973437c3b5,review,correlated_residuals,1000,1000,191,24,215,121537.43147203782,880.5479455635942,4.7418477544489256e-11,1.121852798227553e-12,2.970956104e-12,2.654896944e-11,0.05735009987738882,0.9059443957793698,0.9742593587238929,120596.77601828155,0.82683266197648,120596.77601828155,17809.84033674998,20883.422677304497,17397.912013576155,2.718108776e-12,2.465261448e-12,2.970956104e-12,0.05674957527134287,89,Both `ftol` and `xtol` termination conditions are satisfied.
2,180000.0,trajvel_v1.8e+05_c2.txt,1286d01c216db2aba55a932107754447f88bc699e6190b86cb411b533d8e3e02,review,correlated_residuals,1000,1000,141,23,164,205902.07749785387,743.5485893609091,5.3956585085891895e-11,8.36651828457345e-13,3.0804107399999997e-12,2.1905143039999998e-11,0.0292070100231894,0.9681854812791346,0.9434520440993271,194146.03065908028,0.7350739549470422,194146.03065908028,17621.33238385353,51434.34006524043,16923.933429728222,2.8314886599999998e-12,2.67591236e-12,2.9870649599999997e-12,0.02879272619307324,89,Both `ftol` and `xtol` termination conditions are satisfied.
2,310000.0,trajvel_v3.1e+05_c2.txt,438d0bf73cddc83e8031475ef5736b10cf9fa6c5782e84046c0be287487ecf2c,review,correlated_residuals,1000,1000,102,23,125,349202.4238891332,1007.5376010381989,4.171686654216627e-11,5.181446640309943e-13,3.0349635e-12,1.6297753994999997e-11,0.03180214736947549,0.9846897066016388,0.9533739225016884,323304.35285252065,0.7916480022895395,323304.35285252065,17876.314068013915,67361.1077853103,17620.025996167235,2.761816785e-12,2.6404182449999997e-12,2.883215325e-12,0.031178575852426952,89,`ftol` termination condition is satisfied.
2,540000.0,trajvel_v5.4e+05_c2.txt,38a2ca8b536aa59044bd1a8904878717db4081e6f0e05c75c794a929dce0dfe3,review,correlated_residuals,1000,1000,101,22,123,572112.260267009,704.5907140337227,5.277485239578204e-11,3.3072061131790027e-13,3.0828530140000004e-12,1.7130192691e-11,0.01756193361387164,0.9962098152564998,0.9095544129757361,539213.3928653395,0.7428258774133403,539213.3928653395,17666.0748835441,138671.73119711954,17411.586017216665,2.9374354190000004e-12,2.7920178240000004e-12,3.0828530140000004e-12,0.017214172552210815,89,`ftol` termination condition is satisfied.
2,950000.0,trajvel_v9.5e+05_c2.txt,f7a19a238b4b2af2d0e3a1c0dd52d2eb34b2709b7e207d62ed95b29cda2d4972,review,correlated_residuals,1000,1000,101,22,123,983963.2460082452,834.7505373857326,6.147557191209374e-11,3.094874957145851e-13,3.086024916e-12,1.7135559402e-11,0.02611214992904384,0.9975056925449028,0.9410490850668727,939330.8720206503,0.7492186896702446,939330.8720206503,17242.901577082685,235566.62691853038,17701.064278395595,2.950672946e-12,2.8153209760000003e-12,3.086024916e-12,0.02559507765322119,89,`ftol` termination condition is satisfied.
2,1700000.0,trajvel_v1.7e+06_c2.txt,5bce9b5e56340976e2d15b42df63e36df8f9a67cbfeb92e93c31ea16807a3b6c,review,correlated_residuals,1000,1000,112,23,135,1747361.9107472147,466.75910846133553,5.483959262265662e-11,9.052030966808128e-14,2.5229377950000003e-12,1.465706719e-11,0.009075663394495044,0.9997002125698917,0.8708456764747443,1671335.9759706422,0.7063855653242104,1671335.9759706422,17640.32095694041,490728.3677379291,17280.408313568474,2.3066859840000004e-12,2.1865460890000003e-12,2.4268258790000004e-12,0.008913597976736203,89,`xtol` termination condition is satisfied.
2,2900000.0,trajvel_v2.9e+06_c2.txt,d4f8f73969815e73abd84a9cbeefba093c8ef6d256389327f107f176eb7209ae,review,correlated_residuals,1000,1000,101,23,124,2940516.8783388315,885.652910346877,6.395684624561615e-11,1.242902755776604e-13,3.05486385e-12,1.6333338718e-11,0.02690081063158463,0.9996238217148814,0.9410897257238656,2808005.667588504,0.7274419578640835,2808005.667588504,17690.26857622981,765344.5270644798,17850.91168941115,2.790108983e-12,2.64754867e-12,2.932669296e-12,0.02636812131214731,89,Both `ftol` and `xtol` termination conditions are satisfied.
2,5100000.0,trajvel_v5.1e+06_c2.txt,18bf5dcb581610fb9d4b0113efd97aa61346b84c05b2090030e1e7e9be913ac8,review,correlated_residuals,1000,1000,131,22,153,5159338.964008034,841.0705097911597,8.285553345651963e-11,1.0149005775190698e-13,2.7378741559999997e-12,1.8942268869999997e-11,0.03486901409140741,0.9998117025797466,0.9656725959927792,4986418.607521263,0.6861921321060112,4986418.607521263,18009.849379033276,1564777.39165316,18867.856711717563,2.6105311719999997e-12,2.4991060609999996e-12,2.721956283e-12,0.03433666273123326,89,`xtol` termination condition is satisfied.
2,9000000.0,trajvel_v9.0e+06_c2.txt,92d90e76326d48efaf4203d7f4b120a000b9152e05797b52d5c8d0db08980464,review,correlated_residuals,1000,1000,101,22,123,9041655.244960949,771.1007233712351,2.0354884681712528e-10,4.897074048912493e-13,2.111421896e-12,1.1681671141999999e-11,0.022568202101618202,0.999424661055167,0.9721343187310196,8947245.913944358,0.45214376547225066,8947245.913944358,18203.50317008418,4901804.455807347,30329.155358439803,2.008145825e-12,1.916344873e-12,2.0999467770000002e-12,0.022121307010497047,89,`xtol` termination condition is satisfied.
2,16000000.0,trajvel_v1.6e+07_c2.txt,8337ac4063f856ec60803bf16b30fa74f49cb22ae52fc0c7119110d28bee46a9,review,correlated_residuals,1000,1000,231,23,254,16026419.383347323,136.56466774386308,8.159948049832222e-10,6.504011208026242e-13,1.3302649392e-12,1.4609978728799998e-11,0.002483583172772071,0.9998554299939895,0.8698145839025394,16001011.428085633,0.06958309465422319,16001011.428085633,17522.12662226929,14887611.535321843,23720.322668515695,1.2155869271999998e-12,1.1544253208e-12,1.2767485335999997e-12,0.002462080288159326,89,Both `ftol` and `xtol` termination conditions are satisfied.
