at_lower_bound,at_upper_bound,best_bmax_over_aH,best_bmax_over_debye_length,condition,converged,data_acceleration_cm_s2,data_acceleration_sigma_cm_s2,log_residual,method,model_acceleration_cm_s2,resolution_rhores_dphires,source,velocity_cm_s,vres
False,False,1.5791824286600198,nan,1,True,1.1628584779490473e+18,2917519575981056.0,7.105427357601002e-15,vectorized,1.1628584779490524e+18,360,"theory\dataprocessing\output\results.npy[1,26,0]",156796.48343395928,101
False,False,1.6504941483326832,nan,1,True,2.7887687058531446e+18,1.9277678372658948e+16,8.526512829121202e-14,vectorized,2.78876870585338e+18,360,"theory\dataprocessing\output\results.npy[1,30,0]",346492.9980447761,101
False,False,1.7861140996465916,nan,1,True,9.549406489940115e+18,4.052265270252046e+16,6.323830348264892e-13,vectorized,9.549406489946102e+18,360,"theory\dataprocessing\output\results.npy[1,36,9]",952490.4163224887,101
False,False,1.7592161710861849,nan,1,True,1.6717007545090695e+19,2.5008169764793204e+16,1.3287149158713873e-12,vectorized,1.671700754511294e+19,360,"theory\dataprocessing\output\results.npy[1,39,19]",1502436.0712438638,101
False,False,1.5617816648262333,nan,1,True,2.520339924366861e+19,2.559252688557533e+16,1.2860823517257813e-12,vectorized,2.5203399243700965e+19,360,"theory\dataprocessing\output\results.npy[1,40,7]",2229399.090084986,101
False,False,1.2623631774292368,nan,1,True,4.854607405177178e+19,1.4568261581672676e+16,-1.4210854715202004e-14,vectorized,4.8546074051771376e+19,360,"theory\dataprocessing\output\results.npy[1,44,7]",4562647.661997703,101
False,False,1.320683247673076,nan,1,True,5.7732482837840536e+19,1.7048604239402906e+16,-5.6132876125047915e-12,vectorized,5.773248283751615e+19,360,"theory\dataprocessing\output\results.npy[1,44,0]",5426040.786747861,101
False,False,1.064778410952113,nan,1,True,7.714030185204457e+19,2.157208896432469e+16,6.913580818945775e-12,vectorized,7.714030185257764e+19,360,"theory\dataprocessing\output\results.npy[1,48,4]",11725921.418524003,101
False,False,1.1514062508182057,nan,1,True,7.900211739438588e+19,2.2084662118823364e+16,-2.3590018827235326e-12,vectorized,7.900211739419935e+19,360,"theory\dataprocessing\output\results.npy[1,48,0]",12008931.75451094,101
False,False,1.070855549572998,nan,1,True,7.023043098669499e+19,2.1335743614859304e+16,7.105427357601002e-15,vectorized,7.0230430986695795e+19,360,"theory\dataprocessing\output\results.npy[1,51,0]",20999939.849155802,101
False,False,61454.59007121022,nan,1,True,4.6717412579586e+19,1.741188664755758e+16,-7.986500349943526e-12,vectorized,4.671741257921307e+19,360,"theory\dataprocessing\output\results.npy[1,54,0]",37995364.729566246,101
False,False,0.5715209157079748,nan,1,True,2.6929154139324555e+19,1.5291946030506164e+16,7.105427357601002e-15,vectorized,2.6929154139324764e+19,360,"theory\dataprocessing\output\results.npy[1,56,0]",55991206.85140802,101
False,False,1.0381268046218874,0.22108490894738592,2,True,2004441328014992.0,50947846368162.836,1.4210854715202004e-14,vectorized,2004441328015014.5,360,"theory\dataprocessing\output_dais\results.npy[2,0,7]",95047.55610172512,101
False,False,0.8906608269738086,0.18967978377769393,2,True,2787251661300969.5,46406544055393.07,0.0,vectorized,2787251661300970.5,360,"theory\dataprocessing\output_dais\results.npy[2,1,14]",150390.5814187793,101
False,False,0.8910417606432165,0.1897609094024645,2,True,3538730199838896.5,56491929757421.23,0.0,vectorized,3538730199838876.5,360,"theory\dataprocessing\output_dais\results.npy[2,1,1]",190937.79712362264,101
False,False,1.2204644726905398,0.2599164915278197,2,True,6808229225572626.0,88553932914886.89,7.105427357601002e-15,vectorized,6808229225572646.0,360,"theory\dataprocessing\output_dais\results.npy[2,2,8]",284017.9899916893,101
False,False,0.9185187961422046,0.19561256246102363,2,True,8287490311713117.0,54734880179006.03,7.105427357601002e-15,vectorized,8287490311713194.0,360,"theory\dataprocessing\output_dais\results.npy[2,3,15]",437371.0779321334,101
False,False,0.9207583860871053,0.19608951723845874,2,True,9942980621048466.0,63728849274024.414,-1.4210854715202004e-14,vectorized,9942980621048354.0,360,"theory\dataprocessing\output_dais\results.npy[2,3,2]",524739.334649954,101
False,False,0.7813369110646473,0.16639759138371957,2,True,1.3660307599760268e+16,70586116362814.56,1.368505309073953e-11,vectorized,1.3660307599947258e+16,360,"theory\dataprocessing\output_dais\results.npy[2,4,9]",839775.222190383,101
False,False,0.9230344548501029,0.19657424073561244,2,True,2.5257297149829868e+16,43329572977046.12,7.105427357601002e-15,vectorized,2.5257297149830108e+16,360,"theory\dataprocessing\output_dais\results.npy[2,5,16]",1385099.886446056,101
False,False,0.9400638172341401,0.20020090273426702,2,True,2.904545353749458e+16,48769699606964.84,1.4210854715202004e-14,vectorized,2.9045453537494956e+16,360,"theory\dataprocessing\output_dais\results.npy[2,5,4]",1592840.8395365034,101
False,False,0.9470372089132155,0.20168599266505285,2,True,3.0430465212688732e+16,50935603338809.77,0.0,vectorized,3.043046521268869e+16,360,"theory\dataprocessing\output_dais\results.npy[2,5,0]",1668794.3155817739,101
False,False,0.9105880927401246,0.19392359842336332,2,True,4.3832152401229576e+16,86293970980749.89,7.105427357601002e-15,vectorized,4.3832152401229736e+16,360,"theory\dataprocessing\output_dais\results.npy[2,6,0]",2803366.231739855,101
False,False,0.9662712773244915,0.20578218037975457,2,True,5.548286755677819e+16,69007446611786.2,-1.4210854715202004e-14,vectorized,5.548286755677762e+16,360,"theory\dataprocessing\output_dais\results.npy[2,7,8]",4597062.589114283,101
False,False,1.0968722179506338,0.23359563913857187,2,True,6.024510121344343e+16,74485041597245.38,1.4210854715202004e-14,vectorized,6.024510121344389e+16,360,"theory\dataprocessing\output_dais\results.npy[2,7,0]",4991639.999181874,101
False,False,1.3432374923167916,0.2860628753264268,2,True,4.352868617293419e+16,104810641008575.62,7.105427357601002e-14,vectorized,4.352868617293723e+16,360,"theory\dataprocessing\output_dais\results.npy[2,8,4]",8860213.8739653,101
